schemaVersion,source.name,source.url,collectedAt,recordType,content.entityName,content.data.employeeCount
1.0,Y Combinator,https://www.ycombinator.com/companies/stoa,2026-08-26T14:11:08.781138Z,STARTUP,Stoa,3
1.0,Y Combinator,https://www.ycombinator.com/companies/joinmarble,2026-08-26T14:11:08.782125Z,STARTUP,Marble,2
1.0,Y Combinator,https://www.ycombinator.com/companies/audun,2026-08-26T14:11:08.783188Z,STARTUP,Audun,5
1.0,Y Combinator,https://www.ycombinator.com/companies/grocalo,2026-08-26T14:11:08.784232Z,STARTUP,Grocalo,0
1.0,Y Combinator,https://www.ycombinator.com/companies/ai-coach,2026-08-26T14:11:08.785358Z,STARTUP,Coach,4
1.0,Y Combinator,https://www.ycombinator.com/companies/deepreach-inc,2026-08-26T14:11:08.786456Z,STARTUP,Deepreach,6
1.0,Y Combinator,https://www.ycombinator.com/companies/mochitv,2026-08-26T14:11:08.787528Z,STARTUP,Mochi Tv,3
1.0,Y Combinator,https://www.ycombinator.com/companies/alloovium,2026-08-26T14:11:08.788576Z,STARTUP,Alloovium,5
1.0,Y Combinator,https://www.ycombinator.com/companies/dialogus,2026-08-26T14:11:08.789562Z,STARTUP,Dialogus,3
1.0,Y Combinator,https://www.ycombinator.com/companies/mosaic-inc,2026-08-26T14:11:08.790726Z,STARTUP,Mosaic,2
1.0,Y Combinator,https://www.ycombinator.com/companies/bizmark,2026-08-26T14:11:08.791870Z,STARTUP,Bizmark,2
1.0,Y Combinator,https://www.ycombinator.com/companies/riften,2026-08-26T14:11:08.792974Z,STARTUP,Riften,0
1.0,Y Combinator,https://www.ycombinator.com/companies/buildbox,2026-08-26T14:11:08.794079Z,STARTUP,Buildbox,2
1.0,Y Combinator,https://www.ycombinator.com/companies/realpact,2026-08-26T14:11:08.795147Z,STARTUP,Realpact,2
1.0,Y Combinator,https://www.ycombinator.com/companies/guild,2026-08-26T14:11:08.796148Z,STARTUP,Guild,2
1.0,Y Combinator,https://www.ycombinator.com/companies/floracene,2026-08-26T14:11:08.797248Z,STARTUP,Floracene,2
